x u
1.596763599999999894e-01 1.937342800000000054e+01
1.623620500000000078e-01 1.941809699999999950e+01
1.650616400000000095e-01 1.946229699999999951e+01
1.677750000000000075e-01 1.950604999999999833e+01
1.705020800000000003e-01 1.954936400000000063e+01
1.732427300000000114e-01 1.959224700000000041e+01
1.759968600000000050e-01 1.963470500000000030e+01
1.787643499999999885e-01 1.967674999999999841e+01
1.815451399999999937e-01 1.971838800000000091e+01
1.843391000000000057e-01 1.975960399999999950e+01
1.871461199999999991e-01 1.980040199999999828e+01
1.899661500000000003e-01 1.984080300000000108e+01
1.927990699999999891e-01 1.988082500000000152e+01
1.956447900000000129e-01 1.992047700000000177e+01
1.985032300000000027e-01 1.995976599999999834e+01
2.013742799999999888e-01 1.999870100000000050e+01
2.042578700000000080e-01 2.003729200000000077e+01
2.071539199999999914e-01 2.007555999999999941e+01
2.100623299999999916e-01 2.011351200000000006e+01
2.129830299999999899e-01 2.015114600000000067e+01
2.159159499999999954e-01 2.018845400000000012e+01
2.188609800000000105e-01 2.022543100000000038e+01
2.218180700000000061e-01 2.026209100000000163e+01
2.247871300000000017e-01 2.029843899999999834e+01
2.277680800000000116e-01 2.033448999999999884e+01
2.307608600000000121e-01 2.037025099999999966e+01
2.337653899999999896e-01 2.040573300000000145e+01
2.367816100000000035e-01 2.044093700000000169e+01
2.398094400000000126e-01 2.047586400000000140e+01
2.428488000000000036e-01 2.051053599999999832e+01
2.458996300000000079e-01 2.054497900000000143e+01
2.489618899999999913e-01 2.057920299999999969e+01
2.520354799999999784e-01 2.061321399999999926e+01
2.551203400000000010e-01 2.064699900000000099e+01
2.582164200000000021e-01 2.068054400000000115e+01
2.613236500000000184e-01 2.071385000000000076e+01
2.644419700000000262e-01 2.074693299999999851e+01
2.675713100000000066e-01 2.077979099999999946e+01
2.707116500000000259e-01 2.081240999999999985e+01
2.738628900000000255e-01 2.084478999999999971e+01
2.770250000000000212e-01 2.087693200000000004e+01
2.801978900000000050e-01 2.090885400000000161e+01
2.833815199999999979e-01 2.094057799999999858e+01
2.865758800000000051e-01 2.097211300000000023e+01
2.897808399999999840e-01 2.100346000000000046e+01
2.929963899999999954e-01 2.103460899999999967e+01
2.962225099999999944e-01 2.106556300000000093e+01
2.994590699999999939e-01 2.109632099999999966e+01
3.027060799999999885e-01 2.112688100000000091e+01
3.059634800000000099e-01 2.115723799999999954e+01
3.092312199999999733e-01 2.118740700000000032e+01
3.125092300000000267e-01 2.121739600000000081e+01
3.157975100000000035e-01 2.124720800000000054e+01
3.190959800000000013e-01 2.127684599999999904e+01
3.224045899999999909e-01 2.130630700000000033e+01
3.257233199999999829e-01 2.133558800000000133e+01
3.290520900000000193e-01 2.136470399999999970e+01
3.323909099999999839e-01 2.139365600000000001e+01
3.357396899999999795e-01 2.142244699999999824e+01
3.390984300000000062e-01 2.145108000000000104e+01
3.424670699999999846e-01 2.147954800000000120e+01
3.458455699999999911e-01 2.150784099999999910e+01
3.492338799999999965e-01 2.153597600000000156e+01
3.526319600000000221e-01 2.156396099999999905e+01
3.560397799999999724e-01 2.159178899999999857e+01
3.594573300000000193e-01 2.161946299999999965e+01
3.628845199999999882e-01 2.164699200000000090e+01
3.663213699999999795e-01 2.167437699999999978e+01
3.697678099999999746e-01 2.170160699999999920e+01
3.732238099999999892e-01 2.172868199999999916e+01
3.766893399999999836e-01 2.175561099999999826e+01
3.801643800000000240e-01 2.178240600000000171e+01
3.836488800000000254e-01 2.180907600000000102e+01
3.871428000000000091e-01 2.183562900000000084e+01
3.906461199999999856e-01 2.186206200000000166e+01
3.941588200000000208e-01 2.188837799999999945e+01
3.976808499999999746e-01 2.191457400000000177e+01
4.012121900000000241e-01 2.194066000000000116e+01
4.047527799999999787e-01 2.196665000000000134e+01
4.083026399999999945e-01 2.199254200000000026e+01
4.118617199999999867e-01 2.201832999999999885e+01
4.154300000000000215e-01 2.204401999999999973e+01
4.190074400000000088e-01 2.206962000000000046e+01
4.225940200000000146e-01 2.209512099999999890e+01
