x u
1.806524799232031020e-01 1.979758306580642824e+01
1.841855891932662193e-01 1.984991308964467294e+01
1.877494134147961180e-01 1.990170699803532983e+01
1.913438184118250174e-01 1.995294922267554227e+01
1.949686688570363424e-01 2.000361203360169071e+01
1.986238282768597596e-01 2.005365222096588695e+01
2.023091590566088449e-01 2.010304921820956991e+01
2.060245224456628277e-01 2.015182768096016019e+01
2.097697785626899680e-01 2.020005524841182165e+01
2.135447864009142327e-01 2.024778741021618345e+01
2.173494038334242706e-01 2.029503217563984663e+01
2.211834876185240217e-01 2.034175621181634597e+01
2.250468934051260694e-01 2.038792703198236111e+01
2.289394757381861822e-01 2.043360089086521825e+01
2.328610880641795999e-01 2.047886873770599436e+01
2.368115827366187309e-01 2.052375658821766891e+01
2.407908110216119280e-01 2.056822951019189460e+01
2.447986231034634530e-01 2.061225598327431996e+01
2.488348680903135213e-01 2.065582092474195974e+01
2.528993940198198676e-01 2.069892604214649978e+01
2.569920478648782813e-01 2.074159036847217408e+01
2.611126755393848864e-01 2.078382369920230843e+01
2.652611219040365009e-01 2.082563223648501349e+01
2.694372307721724091e-01 2.086704127070753856e+01
2.736408449156539913e-01 2.090806532639270188e+01
2.778718060707846549e-01 2.094875757162461838e+01
2.821299549442682908e-01 2.098917394915302381e+01
2.864151312192063648e-01 2.102930865585089748e+01
2.907271735611343111e-01 2.106918735881249560e+01
2.950659196240950077e-01 2.110882622966559552e+01
2.994312060567515532e-01 2.114822287592072314e+01
3.038228685085370140e-01 2.118737440610611600e+01
3.082407416358422525e-01 2.122626344704306689e+01
3.126846591082408366e-01 2.126490020103575773e+01
3.171544536147519189e-01 2.130332891730383693e+01
3.216499568701384204e-01 2.134162311598156236e+01
3.261709996212438512e-01 2.137975215955317054e+01
3.307174116533639907e-01 2.141768256029014950e+01
3.352890217966550956e-01 2.145544158112992150e+01
3.398856579325795213e-01 2.149303456940485901e+01
3.445071470003845393e-01 2.153044554528889876e+01
3.491533150036190136e-01 2.156763246262573830e+01
3.538239870166836054e-01 2.160461594078811487e+01
3.585189871914168380e-01 2.164140971528949819e+01
3.632381387637158010e-01 2.167804280056804345e+01
3.679812640601909379e-01 2.171448200617898294e+01
3.727481845048558062e-01 2.175079180163299952e+01
3.775387206258499218e-01 2.178701059361971204e+01
3.823526920621960201e-01 2.182317615804295130e+01
3.871899175705902918e-01 2.185924926336103979e+01
3.920502150322262569e-01 2.189522601753496289e+01
3.969334014596517246e-01 2.193104331959435171e+01
4.018392930036576161e-01 2.196673887408372039e+01
4.067677049602002048e-01 2.200231667219635057e+01
4.117184517773546659e-01 2.203775257368243956e+01
4.166913470623017091e-01 2.207303153782276794e+01
4.216862035883444104e-01 2.210810517574647349e+01
4.267028333019576847e-01 2.214287533891337034e+01
4.317410473298685103e-01 2.217737322509231390e+01
4.368006559861659088e-01 2.221160794184747544e+01
4.418814687794438978e-01 2.224556169473252965e+01
4.469832944199724212e-01 2.227921731112105164e+01
4.521059408268998103e-01 2.231262514219132242e+01
4.572492151354839995e-01 2.234571399560708471e+01
4.624129237043544949e-01 2.237845640423221028e+01
4.675968721228019875e-01 2.241090742461791052e+01
4.728008652180986093e-01 2.244309451037967307e+01
4.780247070628456107e-01 2.247500084040773061e+01
4.832682009823500158e-01 2.250663986693321661e+01
4.885311495620294764e-01 2.253800139062051855e+01
4.938133546548445496e-01 2.256911569642360860e+01
4.991146173887590631e-01 2.259997715161714638e+01
5.044347381742275704e-01 2.263061633559460972e+01
5.097735167117088961e-01 2.266107313777097687e+01
5.151307519992088801e-01 2.269137450840902659e+01
5.205062423398469917e-01 2.272146850090015846e+01
5.258997853494500330e-01 2.275137855543459864e+01
5.313111779641720434e-01 2.278113586053427397e+01
5.367402164481397397e-01 2.281072439265997431e+01
5.421866964011227141e-01 2.284014851138776336e+01
5.476504127662289445e-01 2.286946115162923832e+01
5.531311598376256189e-01 2.289866298556774993e+01
5.586287312682833850e-01 2.292771042918106872e+01
5.641429200777445807e-01 2.295655801414305230e+01
5.696735186599173328e-01 2.298513289665442016e+01
5.752203187908911941e-01 2.301346251773097507e+01
5.807831116367760949e-01 2.304159991263836105e+01
5.863616877615653866e-01 2.306951346975283457e+01
5.919558371350213122e-01 2.309720415577868380e+01
5.975653491405814588e-01 2.312468558432643562e+01
6.031900125832896364e-01 2.315200024682069824e+01
6.088296156977459628e-01 2.317913252003985747e+01
6.144839461560809291e-01 2.320610116784005683e+01
6.201527910759488949e-01 2.323293859203653966e+01
6.258359370285420109e-01 2.325964525577947839e+01
6.315331700466276788e-01 2.328617596868410189e+01
6.372442756326027746e-01 2.331249971829358003e+01
6.429690387665699669e-01 2.333861825495528919e+01
6.487072439144327962e-01 2.336452934965160111e+01
6.544586750360108507e-01 2.339017354214838917e+01
6.602231155931730378e-01 2.341546799919715482e+01
6.660003485579905069e-01 2.344038926745265883e+01
6.717901564209073362e-01 2.346498730864208682e+01
6.775923211989299810e-01 2.348929588400609347e+01
6.834066244438341542e-01 2.351332361382686997e+01
6.892328472503885806e-01 2.353711218393111437e+01
6.950707702645975150e-01 2.356063576362324952e+01
7.009201736919594694e-01 2.358387885639157844e+01
7.067808373057413718e-01 2.360686258923335146e+01
7.126525404552703780e-01 2.362962202303492987e+01
7.185350620742418926e-01 2.365214483997890582e+01
7.244281806890418007e-01 2.367441751529114669e+01
7.303316744270847982e-01 2.369640368811831621e+01
7.362453210251684865e-01 2.371803398248236050e+01
7.421688978378411239e-01 2.373925519592651057e+01
7.481021818457831429e-01 2.376006278751776080e+01
7.540449496642054328e-01 2.378049158512960304e+01
7.599969775512585013e-01 2.380054314746329425e+01
7.659580414164565143e-01 2.382024448990722831e+01
7.719279168291142135e-01 2.383956896443009654e+01
7.779063790267963796e-01 2.385845651266726009e+01
7.838932029237803967e-01 2.387687064184189367e+01
7.898881631195302511e-01 2.389479448387362126e+01
7.958910339071829654e-01 2.391223105093165202e+01
8.019015892820462454e-01 2.392916236484116510e+01
8.079196029501076737e-01 2.394564458342707880e+01
8.139448483365533393e-01 2.396165567110649874e+01
8.199770985943004575e-01 2.397714763783754321e+01
8.260161266125360946e-01 2.399209422417942150e+01
8.320617050252687719e-01 2.400653144239687009e+01
8.381136062198880632e-01 2.402041863620144468e+01
8.441716023457346285e-01 2.403374742714265722e+01
8.502354653226783521e-01 2.404648251733726383e+01
8.563049668497053624e-01 2.405863711540440164e+01
8.623798784135138229e-01 2.407027923389069102e+01
8.684599712971167174e-01 2.408145440801228432e+01
8.745450165884538496e-01 2.409212983131200048e+01
8.806347851890086176e-01 2.410228804292614768e+01
8.867290478224356676e-01 2.411193816149708624e+01
8.928275750431911018e-01 2.412107638959922440e+01
8.989301372451721228e-01 2.412970809386876780e+01
9.050365046703608973e-01 2.413778390920298023e+01
9.111464474174753025e-01 2.414528185944448424e+01
9.172597354506242251e-01 2.415223062653556241e+01
9.233761386079684108e-01 2.415867383371248422e+01
9.294954266103859775e-01 2.416456497363743239e+01
9.356173690701425905e-01 2.416995883186871197e+01
9.417417354995643031e-01 2.417496632560485637e+01
9.478682953197167249e-01 2.417961711827605598e+01
9.539968178690854117e-01 2.418386222874805824e+01
9.601270724122601408e-01 2.418764178874221216e+01
9.662588281486224062e-01 2.419093165974578596e+01
9.723918542210341354e-01 2.419375418358535157e+01
9.785259197245304019e-01 2.419609281779406729e+01
9.846607937150118062e-01 2.419790274836557842e+01
9.907962452179400747e-01 2.419913751001526236e+01
9.969320432370338825e-01 2.419976219423219277e+01
